               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.028509,             0.03091,           0.0040323,             0.45927,             0.40184,             0.38054,             0.21902,            0.039195,            0.044127,            0.010579,            0.005644,            0.005644,            0.005644
                  90,            0.027672,            0.030164,           0.0037628,             0.43701,             0.36968,             0.37065,             0.21987,            0.038784,            0.043015,           0.0098578,           0.0055945,           0.0055945,           0.0055945
                  91,            0.028013,            0.032447,           0.0035583,             0.44075,             0.35618,             0.35869,             0.21407,            0.040297,              0.0455,            0.010371,            0.005545,            0.005545,            0.005545
                  92,            0.027355,            0.029043,            0.003739,             0.52034,               0.365,             0.37418,             0.22348,            0.038721,            0.043259,            0.010538,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027864,            0.030643,           0.0035217,             0.63527,             0.37825,             0.36192,             0.21114,             0.03976,            0.044402,            0.010408,            0.005446,            0.005446,            0.005446
                  94,            0.026469,            0.029954,            0.003488,             0.56452,             0.40494,             0.38292,              0.2253,             0.03868,            0.042507,            0.010073,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026825,            0.030943,           0.0034019,             0.58346,             0.40789,             0.38344,             0.22176,            0.038236,            0.043371,            0.010323,            0.005347,            0.005347,            0.005347
                  96,            0.026889,            0.032525,           0.0037947,              0.5452,             0.38488,             0.41874,             0.22911,            0.037849,            0.043598,            0.011041,           0.0052975,           0.0052975,           0.0052975
                  97,            0.027555,            0.029148,           0.0035609,             0.42045,             0.48268,             0.40979,             0.22712,            0.038533,            0.045441,            0.010482,            0.005248,            0.005248,            0.005248
                  98,            0.026963,            0.030434,           0.0033565,             0.40677,             0.41312,             0.41377,             0.22851,            0.038313,            0.046934,            0.009472,           0.0051985,           0.0051985,           0.0051985
                  99,            0.026567,            0.030403,           0.0034492,             0.44195,             0.40473,             0.38747,             0.22564,            0.038715,            0.046647,           0.0089061,            0.005149,            0.005149,            0.005149
                 100,            0.026748,             0.03011,           0.0035826,             0.39999,              0.4265,             0.37583,             0.21976,            0.038222,            0.045036,           0.0091226,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027115,            0.030392,           0.0037106,             0.44764,               0.452,             0.41125,             0.23576,            0.038344,            0.045053,           0.0097892,             0.00505,             0.00505,             0.00505
                 102,            0.025425,            0.027376,           0.0030836,             0.45214,             0.42155,             0.41025,             0.22994,            0.038187,            0.045482,            0.010034,           0.0050005,           0.0050005,           0.0050005
                 103,             0.02707,            0.029963,             0.00371,             0.52674,             0.38154,             0.41463,             0.23952,            0.038249,            0.045424,            0.011037,            0.004951,            0.004951,            0.004951
                 104,            0.026213,            0.028245,           0.0035537,             0.55942,              0.3528,             0.40415,             0.23766,            0.037974,             0.04411,            0.010034,           0.0049015,           0.0049015,           0.0049015
                 105,             0.02454,            0.027231,           0.0031905,             0.48755,             0.36836,             0.40286,             0.23223,             0.03816,            0.044199,           0.0092821,            0.004852,            0.004852,            0.004852
